"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Coroatá (MA)";"-"
"Cururupu (MA)";"-"
"Davinópolis (MA)";"-"
"Dom Pedro (MA)";"-"
"Duque Bacelar (MA)";"-"
"Esperantinópolis (MA)";"-"
"Estreito (MA)";"13900"
"Feira Nova do Maranhão (MA)";"5089"
"Fernando Falcão (MA)";"25880"
"Formosa da Serra Negra (MA)";"-"
"Fortaleza dos Nogueiras (MA)";"57420"
"Fortuna (MA)";"6625"
"Godofredo Viana (MA)";"-"
"Gonçalves Dias (MA)";"-"
"Governador Archer (MA)";"-"
"Governador Edison Lobão (MA)";"-"
"Governador Eugênio Barros (MA)";"6499"
"Governador Luiz Rocha (MA)";"8173"
"Governador Newton Bello (MA)";"-"
"Governador Nunes Freire (MA)";"-"
"Graça Aranha (MA)";"-"
"Grajaú (MA)";"70000"
"Guimarães (MA)";"-"
"Humberto de Campos (MA)";"-"
"Icatu (MA)";"-"
"Igarapé do Meio (MA)";"-"
"Igarapé Grande (MA)";"-"
"Imperatriz (MA)";"-"
"Itaipava do Grajaú (MA)";"-"
"Itapecuru Mirim (MA)";"-"
"Itinga do Maranhão (MA)";"96270"
"Jatobá (MA)";"1443"
"Jenipapo dos Vieiras (MA)";"-"
"João Lisboa (MA)";"910"
"Joselândia (MA)";"-"
"Junco do Maranhão (MA)";"-"
"Lago da Pedra (MA)";"10080"
"Lago do Junco (MA)";"-"
"Lago Verde (MA)";"-"
"Lagoa do Mato (MA)";"1928"
"Lago dos Rodrigues (MA)";"-"
"Lagoa Grande do Maranhão (MA)";"-"
"Lajeado Novo (MA)";"2236"
"Lima Campos (MA)";"-"
"Loreto (MA)";"108330"
"Luís Domingues (MA)";"-"
"Magalhães de Almeida (MA)";"12390"
"Maracaçumé (MA)";"-"
"Marajá do Sena (MA)";"4320"
"Maranhãozinho (MA)";"-"
"Mata Roma (MA)";"26496"
"Matinha (MA)";"-"
"Matões (MA)";"19800"
"Matões do Norte (MA)";"-"
"Milagres do Maranhão (MA)";"14514"
"Mirador (MA)";"55464"
"Miranda do Norte (MA)";"-"
"Mirinzal (MA)";"-"
"Monção (MA)";"-"
"Montes Altos (MA)";"-"
"Morros (MA)";"-"
"Nina Rodrigues (MA)";"-"
"Nova Colinas (MA)";"6930"
"Nova Iorque (MA)";"1283"
"Nova Olinda do Maranhão (MA)";"-"
"Olho d'Água das Cunhãs (MA)";"-"
"Olinda Nova do Maranhão (MA)";"-"
"Paço do Lumiar (MA)";"-"
"Palmeirândia (MA)";"-"
"Paraibano (MA)";"3072"
"Parnarama (MA)";"38000"
"Passagem Franca (MA)";"2850"
"Pastos Bons (MA)";"29159"
"Paulino Neves (MA)";"-"
"Paulo Ramos (MA)";"-"
"Pedreiras (MA)";"-"
"Pedro do Rosário (MA)";"-"
"Penalva (MA)";"-"
"Peri Mirim (MA)";"-"
"Peritoró (MA)";"-"
"Pindaré-Mirim (MA)";"-"
"Pinheiro (MA)";"-"
"Pio XII (MA)";"-"
"Pirapemas (MA)";"-"
"Poção de Pedras (MA)";"-"
"Porto Franco (MA)";"2076"
"Porto Rico do Maranhão (MA)";"-"
"Presidente Dutra (MA)";"-"
"Presidente Juscelino (MA)";"-"
"Presidente Médici (MA)";"-"
"Presidente Sarney (MA)";"-"
"Presidente Vargas (MA)";"-"
"Primeira Cruz (MA)";"-"
"Raposa (MA)";"-"
"Riachão (MA)";"168987"
"Ribamar Fiquene (MA)";"-"
"Rosário (MA)";"-"
"Sambaíba (MA)";"146420"
"Santa Filomena do Maranhão (MA)";"-"
"Santa Helena (MA)";"-"
"Santa Inês (MA)";"-"
"Santa Luzia (MA)";"29000"
"Santa Luzia do Paruá (MA)";"-"
"Santa Quitéria do Maranhão (MA)";"11869"
"Santa Rita (MA)";"-"
"Santana do Maranhão (MA)";"-"
"Santo Amaro do Maranhão (MA)";"-"
"Santo Antônio dos Lopes (MA)";"-"
"São Benedito do Rio Preto (MA)";"4250"
"São Bento (MA)";"-"
"São Bernardo (MA)";"5400"
"São Domingos do Azeitão (MA)";"115471"
"São Domingos do Maranhão (MA)";"4266"
"São Félix de Balsas (MA)";"14364"
"São Francisco do Brejão (MA)";"-"
"São Francisco do Maranhão (MA)";"2100"
"São João Batista (MA)";"-"
"São João do Carú (MA)";"-"
"São João do Paraíso (MA)";"-"
"São João do Soter (MA)";"28425"
"São João dos Patos (MA)";"12889"
"São José de Ribamar (MA)";"-"
"São José dos Basílios (MA)";"-"
"São Luís (MA)";"-"
"São Luís Gonzaga do Maranhão (MA)";"-"
"São Mateus do Maranhão (MA)";"-"
"São Pedro da Água Branca (MA)";"-"
"São Pedro dos Crentes (MA)";"6042"
"São Raimundo das Mangabeiras (MA)";"57876"
"São Raimundo do Doca Bezerra (MA)";"-"
"São Roberto (MA)";"-"
"São Vicente Ferrer (MA)";"-"
"Satubinha (MA)";"-"
"Senador Alexandre Costa (MA)";"30140"
"Senador La Rocque (MA)";"-"
"Serrano do Maranhão (MA)";"-"
"Sítio Novo (MA)";"520"
"Sucupira do Norte (MA)";"24054"
"Sucupira do Riachão (MA)";"2700"
"Tasso Fragoso (MA)";"640548"
"Timbiras (MA)";"-"
"Timon (MA)";"-"
"Trizidela do Vale (MA)";"-"
"Tufilândia (MA)";"-"
"Tuntum (MA)";"-"
"Turiaçu (MA)";"-"
"Turilândia (MA)";"-"
"Tutóia (MA)";"-"
"Urbano Santos (MA)";"2738"
"Vargem Grande (MA)";"-"
"Viana (MA)";"-"
"Vila Nova dos Martírios (MA)";"11560"
"Vitória do Mearim (MA)";"-"
"Vitorino Freire (MA)";"-"
"Zé Doca (MA)";"-"
"Acauã (PI)";"-"
"Agricolândia (PI)";"2160"
"Água Branca (PI)";"-"
"Alagoinha do Piauí (PI)";"-"
"Alegrete do Piauí (PI)";"-"
"Alto Longá (PI)";"-"
"Altos (PI)";"-"
"Alvorada do Gurguéia (PI)";"7072"
"Amarante (PI)";"-"
"Angical do Piauí (PI)";"-"
"Anísio de Abreu (PI)";"-"
"Antônio Almeida (PI)";"30195"
"Aroazes (PI)";"-"
"Aroeiras do Itaim (PI)";"-"
